K,level,seed,success,time_sec,nodes,iterations,path_len_joint
1,3,0,1,0.0,2,0,1.0
1,3,1,1,0.0,2,0,1.0
1,3,2,1,0.0,2,0,1.0
1,3,3,1,0.0,2,0,1.0
1,3,4,1,0.0,2,0,1.0
2,3,0,1,0.0,2,0,1.4142135381698608
2,3,1,1,0.0,2,0,1.4142135381698608
2,3,2,1,0.0,2,0,1.4142135381698608
2,3,3,1,0.0,2,0,1.4142135381698608
2,3,4,1,0.0,2,0,1.4142135381698608
3,3,0,1,0.0,2,0,1.7320507764816284
3,3,1,1,0.0,2,0,1.7320507764816284
3,3,2,1,0.0,2,0,1.7320507764816284
3,3,3,1,0.0,2,0,1.7320507764816284
3,3,4,1,0.0,2,0,1.7320507764816284
4,3,0,1,0.0,2,0,2.0
4,3,1,1,0.0,2,0,2.0
4,3,2,1,0.0,2,0,2.0
4,3,3,1,0.0,2,0,2.0
4,3,4,1,0.0,2,0,2.0
5,3,0,1,0.0,2,0,2.2360680103302
5,3,1,1,0.0,2,0,2.2360680103302
5,3,2,1,0.0,2,0,2.2360680103302
5,3,3,1,0.0,2,0,2.2360680103302
5,3,4,1,0.0,2,0,2.2360680103302
6,3,0,1,0.0,2,0,2.4494898319244385
6,3,1,1,0.0,2,0,2.4494898319244385
6,3,2,1,0.0,2,0,2.4494898319244385
6,3,3,1,0.0,2,0,2.4494898319244385
6,3,4,1,0.0,2,0,2.4494898319244385
7,3,0,1,0.0,2,0,2.6457512378692627
7,3,1,1,0.0,2,0,2.6457512378692627
7,3,2,1,0.0,2,0,2.6457512378692627
7,3,3,1,0.0,2,0,2.6457512378692627
7,3,4,1,0.0,2,0,2.6457512378692627
8,3,0,1,0.0,2,0,2.8284270763397217
8,3,1,1,0.0,2,0,2.8284270763397217
8,3,2,1,0.0,2,0,2.8284270763397217
8,3,3,1,0.0,2,0,2.8284270763397217
8,3,4,1,0.0,2,0,2.8284270763397217
9,3,0,1,0.0,2,0,3.0
9,3,1,1,0.0,2,0,3.0
9,3,2,1,0.0,2,0,3.0
9,3,3,1,0.0,2,0,3.0
9,3,4,1,0.0,2,0,3.0
10,3,0,1,0.0,2,0,3.1622776985168457
10,3,1,1,0.0,2,0,3.1622776985168457
10,3,2,1,0.0,2,0,3.1622776985168457
10,3,3,1,0.0,2,0,3.1622776985168457
10,3,4,1,0.0,2,0,3.1622776985168457
11,3,0,1,0.0,2,0,3.316624879837036
11,3,1,1,0.0,2,0,3.316624879837036
11,3,2,1,0.0,2,0,3.316624879837036
11,3,3,1,0.0,2,0,3.316624879837036
11,3,4,1,0.0,2,0,3.316624879837036
12,3,0,1,0.0,2,0,3.464101552963257
12,3,1,1,0.0,2,0,3.464101552963257
12,3,2,1,0.0,2,0,3.464101552963257
12,3,3,1,0.0,2,0,3.464101552963257
12,3,4,1,0.0,2,0,3.464101552963257
